Term,count,Term Frequency,IDF,Score
File1
12,1,0.00833333,1.67807,0.0139839
170km,1,0.00833333,2.41504,0.0201253
200,1,0.00833333,1.67807,0.0139839
activity,3,0.025,1.41504,0.0353759
administration,1,0.00833333,1.67807,0.0139839
administrations,1,0.00833333,2.41504,0.0201253
apparently,1,0.00833333,2.41504,0.0201253
approval,1,0.00833333,1.67807,0.0139839
bangladesh,1,0.00833333,1.67807,0.0139839
bigger,1,0.00833333,2.41504,0.0201253
biodiversity,1,0.00833333,1.41504,0.011792
blind,1,0.00833333,2.41504,0.0201253
broken,1,0.00833333,2.41504,0.0201253
carry,1,0.00833333,2.41504,0.0201253
chittagong,1,0.00833333,1.67807,0.0139839
cohorts,1,0.00833333,1.67807,0.0139839
communities,2,0.0166667,1.67807,0.0279679
condition,1,0.00833333,2.41504,0.0201253
conducted,1,0.00833333,1.67807,0.0139839
construction,2,0.0166667,1.41504,0.023584
corrupt,1,0.00833333,1.67807,0.0139839
cost,1,0.00833333,1.41504,0.011792
council,1,0.00833333,1.67807,0.0139839
damaging,1,0.00833333,1.67807,0.0139839
depend,1,0.00833333,1.67807,0.0139839
dependent,1,0.00833333,1.67807,0.0139839
development,1,0.00833333,1.41504,0.011792
drying,1,0.00833333,1.67807,0.0139839
effect,1,0.00833333,2.41504,0.0201253
effects,1,0.00833333,1.67807,0.0139839
eleven,1,0.00833333,1.67807,0.0139839
expect,1,0.00833333,1.19265,0.00993871
eye,1,0.00833333,2.41504,0.0201253
facilitating,1,0.00833333,1.67807,0.0139839
fall,1,0.00833333,2.41504,0.0201253
fed,1,0.00833333,2.41504,0.0201253
feed,1,0.00833333,1.67807,0.0139839
fishing,1,0.00833333,1.67807,0.0139839
flow,1,0.00833333,1.67807,0.0139839
giving,1,0.00833333,2.41504,0.0201253
hill,2,0.0166667,1.67807,0.0279679
hills,1,0.00833333,2.41504,0.0201253
ignoring,1,0.00833333,2.41504,0.0201253
illegal,1,0.00833333,1.67807,0.0139839
illicit,1,0.00833333,1.67807,0.0139839
immediately,1,0.00833333,1.67807,0.0139839
irrigation,1,0.00833333,1.67807,0.0139839
jurisdiction,1,0.00833333,2.41504,0.0201253
law,1,0.00833333,2.41504,0.0201253
lines,1,0.00833333,2.41504,0.0201253
livelihoods,1,0.00833333,1.41504,0.011792
local,2,0.0166667,1.41504,0.023584
long,1,0.00833333,2.41504,0.0201253
made,1,0.00833333,1.67807,0.0139839
marma,1,0.00833333,1.67807,0.0139839
miners,1,0.00833333,1.67807,0.0139839
mining,2,0.0166667,1.67807,0.0279679
obvious,1,0.00833333,1.67807,0.0139839
officials,1,0.00833333,1.67807,0.0139839
people,2,0.0166667,1.67807,0.0279679
peril,1,0.00833333,1.67807,0.0139839
place,2,0.0166667,1.67807,0.0279679
practice,1,0.00833333,1.67807,0.0139839
problem,1,0.00833333,2.41504,0.0201253
public,1,0.00833333,1.67807,0.0139839
put,2,0.0166667,1.67807,0.0279679
rampant,1,0.00833333,2.41504,0.0201253
relentless,1,0.00833333,1.67807,0.0139839
removal,1,0.00833333,1.67807,0.0139839
rise,1,0.00833333,2.41504,0.0201253
river,2,0.0166667,1.67807,0.0279679
road,2,0.0166667,1.41504,0.023584
sangu,2,0.0166667,1.67807,0.0279679
sanitation,1,0.00833333,1.67807,0.0139839
situation,1,0.00833333,2.41504,0.0201253
stone,3,0.025,1.67807,0.0419518
