Term,count,Term Frequency,IDF,Score
11,1,0.0131579,1.60944,0.0211768
2,1,0.0131579,0.916291,0.00934991
20,1,0.0131579,1.60944,0.0211768
3,1,0.0131579,1.60944,0.0211768
4,1,0.0131579,1.60944,0.0211768
7,2,0.0263158,0,0
8,2,0.0263158,1.60944,0.0423536
`,1,0.0131579,0.916291,0.00848417
allocated,1,0.0131579,1.60944,0.0211768
alternatively,2,0.0263158,1.60944,0.0423536
approaches,1,0.0131579,1.60944,0.0211768
basic,1,0.0131579,1.60944,0.0211768
case,2,0.0263158,0.916291,0.00848417
character,3,0.0394737,0.916291,0.0169683
characteristics,1,0.0131579,1.60944,0.0211768
characters,4,0.0526316,1.60944,0.0847073
colon,1,0.0131579,1.60944,0.0211768
consists,1,0.0131579,0.916291,0.00934991
data,6,0.0789474,0,0
delimited,2,0.0263158,0.916291,0.00848417
delimiter,4,0.0526316,0.916291,0.00848417
differentiating,1,0.0131579,1.60944,0.0211768
empty,1,0.0131579,1.60944,0.0211768
enforcing,1,0.0131579,1.60944,0.0211768
escape,1,0.0131579,0.916291,0.00848417
field,4,0.0526316,0.916291,0.00848417
fields,7,0.0921053,0.916291,0.0254525
figure,2,0.0263158,0,0
file,8,0.105263,0,0
fixed,3,0.0394737,1.60944,0.0635304
fixed-width,2,0.0263158,0.916291,0.0123823
flat,3,0.0394737,0.510826,0.0236493
format,5,0.0657895,0.223144,0.00683093
general,1,0.0131579,1.60944,0.0211768
header,2,0.0263158,0.916291,0.00848417
inefficient,1,0.0131579,1.60944,0.0211768
information,1,0.0131579,0.510826,0.0364875
length,2,0.0263158,1.60944,0.0423536
lengths,1,0.0131579,1.60944,0.0211768
line,3,0.0394737,0.510826,0.010425
lots,1,0.0131579,1.60944,0.0211768
main,1,0.0131579,0.510826,0.00472987
maximum,1,0.0131579,1.60944,0.0211768
names,1,0.0131579,0.510826,0.00510826
number,1,0.0131579,0.510826,0.00521251
numbers,1,0.0131579,1.60944,0.0211768
part,1,0.0131579,1.60944,0.0211768
plain,3,0.0394737,0.223144,0.00455395
problem,2,0.0263158,0.510826,0.00510826
problems,1,0.0131579,1.60944,0.0211768
quoting,1,0.0131579,1.60944,0.0211768
record,2,0.0263158,0.916291,0.00848417
referred,1,0.0131579,1.60944,0.0211768
separated,2,0.0263158,0.916291,0.00848417
sequences,1,0.0131579,1.60944,0.0211768
set,5,0.0657895,0.223144,0.00446287
short,1,0.0131579,1.60944,0.0211768
shown,1,0.0131579,0.916291,0.0123823
solution,1,0.0131579,1.60944,0.0211768
space,1,0.0131579,0.916291,0.0123823
spaces,1,0.0131579,1.60944,0.0211768
space”,1,0.0131579,1.60944,0.0211768
special,1,0.0131579,0.510826,0.00521251
start,1,0.0131579,0.916291,0.00916291
store,1,0.0131579,0.916291,0.0123823
stored,1,0.0131579,0.510826,0.010425
tabs,1,0.0131579,1.60944,0.0211768
text,3,0.0394737,0.223144,0.00683093
typical,1,0.0131579,1.60944,0.0211768
values,5,0.0657895,0.916291,0.0247646
varaibles,1,0.0131579,1.60944,0.0211768
variable,1,0.0131579,0.916291,0.0183258
variables,2,0.0263158,0.916291,0.0183258
view,2,0.0263158,0.510826,0.00472987
width,1,0.0131579,1.60944,0.0211768
“white,1,0.0131579,1.60944,0.0211768
7,1,0.0135135,0,0
access,1,0.0135135,0.916291,0.0183258
advantage,2,0.027027,0.916291,0.0186998
arrangement,1,0.0135135,1.60944,0.0217492
characters”,1,0.0135135,1.60944,0.0217492
collected,1,0.0135135,1.60944,0.0217492
comma-delimited,1,0.0135135,1.60944,0.0217492
complex,1,0.0135135,0.916291,0.00848417
computer,1,0.0135135,0.916291,0.00934991
create,1,0.0135135,1.60944,0.0217492
data,6,0.0810811,0,0
depicted,1,0.0135135,1.60944,0.0217492
difficult,1,0.0135135,0.916291,0.0183258
disadvantage,1,0.0135135,1.60944,0.0217492
easy,4,0.0540541,0.916291,0.0186998
efficiency,1,0.0135135,1.60944,0.0217492
